Ticker,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
BPCL,0.457645201574796,0.48413382501662666,0.16726123939898707,0.22880847058068504,0.24156629258163567,0.25358962789806927,0.363645928636804,0.2842190825200388,0.47618122348849473,0.25067846148799106,1.0,0.058386459908976986,0.05396371658955663,0.6231413327979984,0.1884943230958771,0.23361617845554566,0.3400523843368414,0.1966209257138514,0.223417054812538,0.1665507256981361,0.23860069732551148,0.3588250088281892,0.009668871732787857,0.20897929046036506,0.3660993245243985,0.1474631908491069,0.19306299222536788,0.38918258670351896,0.1418847970912871,0.4665421109698042,0.27385772598334673,0.27989647387461014,0.09494647571825418,0.5711989798032505,0.6112565696088809,0.5253126233108443,0.4705803331317247,0.23646836760410242,0.5095508447226238,0.4122480407202844,0.20627080738485598,0.20070324168827092,0.462044629070883,0.4878050336243881,0.22014879268104104,0.21721703960139824,0.272697241597391,0.23370344109966085,0.39547019828003394,0.2557061983957998
BRITANNIA,0.31643054916756375,0.34727747017233573,0.28214606921436397,0.5295659200051934,0.1681986619407053,0.23666157214793193,0.23107178767612332,0.24789477143127372,0.27940788468937094,0.10261203833101887,0.058386459908976986,1.0,0.19459024354110183,0.1833260484121645,0.19593022151609463,0.1551099010215,0.3115199685546761,0.30224468422685796,0.21432223508593606,-0.09577645565722434,0.2715092924685463,0.2852534777691127,0.5171760577473639,0.18747451933659817,0.22767444389739241,0.22364776036373984,0.4599589342111494,0.31674357191352587,0.34899189481640175,0.25099930230820144,0.15538322910402905,0.0944264814608779,0.6112291200775651,0.26221981895404356,0.0914389448489753,0.13440447951460374,0.2650334390491873,0.1012264119483669,0.18022817749108902,0.13461157309406666,0.2305401988941049,0.5331253993004835,0.2381774183125752,0.21753358670127712,0.27656656823662257,0.2163713543932471,0.15561219490567438,0.10858321665154039,0.3996912487401317,0.3293527182988709
CIPLA,0.13254579738906924,0.13735389357177002,0.2427746868568008,0.18230815148972726,0.08689761423756914,0.058437156095630174,0.1560514490615272,0.07066649922436344,0.12681293619146947,0.110034077527392,0.05396371658955663,0.19459024354110183,1.0,0.10259478670330682,0.39918671623208724,0.08438767150674524,0.1814913265592779,0.09677509207970014,0.016698655342779953,0.049646317874414966,0.14836229755156935,0.14287853490444113,0.0579764373792319,0.11453123554998929,0.06362341251847119,0.09819631779497717,0.16815011829231874,0.19641265672133393,0.06701251003444078,0.19230623109360184,0.18752225875044135,0.04418506590767491,0.14728777508847707,0.1186773013993095,0.036186608284008215,0.15459790172686552,0.08420645665334692,0.11846857263106321,0.05552547760813703,0.09481147909835558,0.43146281784631285,0.12318122673205663,0.094917425882827,0.16679279043103154,0.14001151123090438,0.07290244799315479,0.11452532008997679,0.1482032153720202,0.17218703006103903,0.14055249466882044
COALINDIA,0.6036039745007415,0.6524712095961126,0.25451426602845983,0.28827436639687043,0.3355075497269931,0.3296407779573285,0.2818425047997087,0.30292484048589285,0.6752883747395155,0.2311272589781484,0.6231413327979984,0.1833260484121645,0.10259478670330682,1.0,0.17686660307958407,0.3316896729658855,0.32558371669888386,0.28655960592013735,0.3645588725653087,0.12190046843876595,0.33458185442844934,0.47857057120340585,0.008917050135742823,0.31693012980702245,0.41074667619516125,0.181125189222729,0.3129956194469907,0.49596579535628615,0.29065389323000385,0.5707821519392973,0.2992572305136112,0.20318159880653458,0.19772856821645066,0.673820039479653,0.6742257294495673,0.6031732863718542,0.5665755233933345,0.23818060088728346,0.5810866864972808,0.4218349337137984,0.21324170898768524,0.33847989582455884,0.4854082270317432,0.584857405821648,0.21935974519574467,0.22006352485545966,0.2872315735007081,0.31314982241741895,0.44842852056108934,0.36135704156802645
DRREDDY,0.18420240461647344,0.17564825765798173,0.24543717493730302,0.15229522208194962,0.0813829876637478,0.10855297271922146,0.2827929352258737,0.09978233259479773,0.13714461732489622,0.177524054068423,0.1884943230958771,0.19593022151609463,0.39918671623208724,0.17686660307958407,1.0,0.13706846016507263,0.26152625313759165,0.2589812334009452,0.1616494647573998,0.09329707787169216,0.12141188263111137,0.18685980798672794,0.16282474361254037,0.051217590359119526,0.11729089932515023,0.2604479934175222,0.19528278396071713,0.2436180891152615,-0.05090250118106407,0.1355358812054208,0.21628979147416877,0.12292225578574166,0.23107524426285914,0.1993577018044346,0.2059238231691258,0.18441916055771915,0.17504794193588252,0.19999369044696305,0.13443350502173734,0.1736595782636211,0.43680719474012053,0.12368729207238303,0.20724575893947025,0.21192582933456638,0.25761231485638114,0.23255218742269448,0.12986153478858786,0.19014293020556414,0.26183845730828215,0.2686017567705694
EICHERMOT,0.35607728481838397,0.299560266794613,0.3002929827587702,0.2914842151670737,0.30630385142052,0.2753100045430337,0.24792127360164054,0.1816141677690751,0.2920217877458868,0.2527321009640413,0.23361617845554566,0.1551099010215,0.08438767150674524,0.3316896729658855,0.13706846016507263,1.0,0.39242863018427215,0.22907882182648887,0.28131763263163534,0.23777495460801032,0.28935558930559807,0.31038273678262235,0.11879497186790162,0.3498916499873908,0.27839814922430417,0.14709859944050743,0.32045958313524703,0.37110645379844587,0.23292225727285087,0.33804000102421766,0.348771211802141,0.36933726789434235,0.2074109835533551,0.29527949862420766,0.2557728084153777,0.26153408195788913,0.3671076135468616,0.3238603747511389,0.32768515265320136,0.3373450155977513,0.1826732725907348,0.22649039015771444,0.3554202035732654,0.3425509493307428,0.2107055828210436,0.21984975254332326,0.2980305669982421,0.2593402393725041,0.31806633247792865,0.31297028980419117
GRASIM,0.40628887134691255,0.4274693146772253,0.26953617447350725,0.39738463361651577,0.3697713080133383,0.2524584787793293,0.4318835867379441,0.37798535947186707,0.4079645577384595,0.26853031375642133,0.3400523843368414,0.3115199685546761,0.1814913265592779,0.32558371669888386,0.26152625313759165,0.39242863018427215,1.0,0.2587316730272183,0.34318386199540507,0.16917366030064984,0.3198224220338607,0.4861917153974372,0.21079063201736387,0.43632385045997496,0.3781483697337837,0.2277312480788155,0.3375591179659149,0.5406700588935985,0.2822045227194397,0.4076569200971789,0.3026478683014533,0.2493166185458452,0.37251785563367806,0.447191471867547,0.3553295312359246,0.4076096925774351,0.44330739488632187,0.21480502902392082,0.4638866348425467,0.3659694991060173,0.2496542269326985,0.3742559136233189,0.4030563708926689,0.5010159987914511,0.2645732660622419,0.20339623204077567,0.3984073746100911,0.2697472671643275,0.5960813083047115,0.34238198013180493
HCLTECH,0.33233803822316405,0.3766599093496492,0.2987804030019559,0.25612529115149174,0.12556849130028774,0.2552278907144967,0.23960517338067452,0.19277684856828592,0.39955940408374657,0.24848052749052907,0.1966209257138514,0.30224468422685796,0.09677509207970014,0.28655960592013735,0.2589812334009452,0.22907882182648887,0.2587316730272183,1.0,0.20847530286655205,0.014444386020706218,0.2570790896737046,0.39533378702037236,0.1980401635895693,0.2286109765256407,0.2040963117736454,0.7177821786963884,0.3267492797232498,0.34321031815705194,0.2542517937572375,0.3533198409354041,0.23350350064250827,0.1356707696064709,0.3437781131730166,0.33898012176002335,0.2635294164622401,0.28294186714646036,0.4006110809747724,0.1959714093025723,0.34505009147997623,0.21339422852226783,0.20787602625214321,0.4105359202062062,0.36704509146091296,0.33941675411878386,0.6924472605348747,0.568142130691042,0.2718085854633628,0.27422298481372437,0.40936681778915973,0.6770374475665829
HDFCBANK,0.4507443820229852,0.5113132577641449,0.14641134137318898,0.3640348930756227,0.4566142207395557,0.2909141359274602,0.3075340923926559,0.3458095426137537,0.46673687105854783,0.16609129789258173,0.223417054812538,0.21432223508593606,0.016698655342779953,0.3645588725653087,0.1616494647573998,0.28131763263163534,0.34318386199540507,0.20847530286655205,1.0,0.12985726907444017,0.19646119514198107,0.3994319574978656,0.14166854185356376,0.4817805209772682,0.42998428699834507,0.1797249695114943,0.2989989597567284,0.4519442517121535,0.47465959218409953,0.446553009873924,0.3365755272903411,0.18093299364386342,0.2731431721212498,0.470159045667284,0.3040371685946914,0.4293857615938254,0.39179207675314065,0.18362715670589075,0.45055122679339576,0.3360637905508034,0.11634881450698877,0.2854239749198416,0.3402760831646337,0.4680301905462575,0.17503290194864618,0.2689463472874088,0.245283416176737,0.172845363723349,0.48796102233752714,0.34376663833510795
HDFCLIFE,0.08459570868388243,0.059569008980644496,0.11027635096046899,0.09051624463286304,0.23006202377481,0.08223290562069994,0.33877474125299406,0.28163262795423516,0.055828523388953374,0.21358106802855265,0.1665507256981361,-0.09577645565722434,0.049646317874414966,0.12190046843876595,0.09329707787169216,0.23777495460801032,0.16917366030064984,0.014444386020706218,0.12985726907444017,1.0,0.13155786868704336,0.032070352118110726,0.10308961850809381,0.12499932015712346,0.12795122076269436,0.011037524425573318,0.09048834505178781,0.1358213181174478,0.10302906895542503,0.14214820682477156,0.18391441944763287,0.2857064660554341,-0.037838740270900284,0.05967132889699677,0.19440605806332367,-0.021122091910553684,0.12711630988678702,0.5850073256466287,0.09387276240079653,0.32197269204586654,0.14044792087864083,0.05779157276005534,0.09404317816874627,0.17713920879874856,0.005117640124575793,0.05147787670500462,0.15199241836051205,0.15489935676053387,0.040061756787101804,0.04951967730822591
HEROMOTOCO,0.32300051090071996,0.32410897039488906,0.28241596728450546,0.2652810053278263,0.1968703212727315,0.4545105049730534,0.2431515750933551,0.2067738951350316,0.21181769292833325,0.16066619817186947,0.23860069732551148,0.2715092924685463,0.14836229755156935,0.33458185442844934,0.12141188263111137,0.28935558930559807,0.3198224220338607,0.2570790896737046,0.19646119514198107,0.13155786868704336,1.0,0.3242566051701374,0.25498740900734485,0.22084787105212578,0.26325013295622934,0.18979303536559264,0.18796833137809665,0.28594485888169374,0.21624896355782683,0.29607691932541835,0.35820939741753605,0.23827921300073115,0.37997226813859136,0.250632539599805,0.2291954622003465,0.2257922042423978,0.3250183946777809,0.1967812991668318,0.23242857634113145,0.27957793127739744,0.25370587945263984,0.3309778239226863,0.3789974165781999,0.34252717260590515,0.24089471032856055,0.16331986578551785,0.34284008155443324,0.2539150107357986,0.39134631783636203,0.301272747227714
HINDALCO,0.4901803548170824,0.538626464192465,0.1099650207524551,0.35426129286595537,0.23603499926636798,0.33775470282322795,0.2576194237503354,0.270341375695825,0.5492674118691304,0.23215445570739052,0.3588250088281892,0.2852534777691127,0.14287853490444113,0.47857057120340585,0.18685980798672794,0.31038273678262235,0.4861917153974372,0.39533378702037236,0.3994319574978656,0.032070352118110726,0.3242566051701374,1.0,0.15459232172195542,0.30216119223435783,0.37752739562227267,0.26444379965069237,0.287278211203112,0.6598778359745019,0.32921581492228685,0.46722135528153835,0.2951635344096263,0.17517738761430685,0.3838299317514714,0.5241956823738495,0.43660642855191817,0.5110104800349712,0.4461907324808455,0.1413396756185795,0.464936431277682,0.3139750132843603,0.27938173829125074,0.39113361889213477,0.47749020379144885,0.6604683424909035,0.3180563333535495,0.29640895555038466,0.31276678220413495,0.32210345298505116,0.504248050250715,0.420596538286602
HINDUNILVR,0.11041228889420637,0.14422944581602729,0.12830139481066336,0.33027876544353946,0.021170855010386194,0.18234416810285986,0.15847745185059747,0.14251500710232903,0.060439501271433736,0.13328286184230984,0.009668871732787857,0.5171760577473639,0.0579764373792319,0.008917050135742823,0.16282474361254037,0.11879497186790162,0.21079063201736387,0.1980401635895693,0.14166854185356376,0.10308961850809381,0.25498740900734485,0.15459232172195542,1.0,0.06319280218027366,0.1377446222963595,0.21689105421017557,0.37244467443198453,0.19698037879873667,0.23174395764447145,0.08768161967044946,0.14885165190089855,0.12549752682493678,0.5250878168631621,0.06440358923701069,0.00476054626154117,0.022500096389698722,0.15398355032153657,0.27630059631928416,0.029603407294393518,0.035104460027139614,0.09052032970465938,0.46626407905345907,0.1471936250647009,0.1325819761789629,0.23221217566433328,0.18351590146703514,0.24652327348957115,0.11706618994932254,0.25801121939669036,0.2577619467517512
ICICIBANK,0.45883506392635587,0.5161345198713999,0.17778800486832017,0.25736026599292017,0.6462262103565197,0.20592665590045373,0.40620668083639405,0.35072727261652276,0.4307217472024307,0.32740293401131854,0.20897929046036506,0.18747451933659817,0.11453123554998929,0.31693012980702245,0.051217590359119526,0.3498916499873908,0.43632385045997496,0.2286109765256407,0.4817805209772682,0.12499932015712346,0.22084787105212578,0.30216119223435783,0.06319280218027366,1.0,0.4008633126821824,0.2468973472014795,0.4012038658905241,0.44301581309372134,0.4863052342510855,0.4843662546732986,0.3151352124357525,0.18208983017206126,0.28511323608328604,0.44386370452027907,0.2898781231897032,0.39074035779330896,0.46638883566686373,0.17461810413198026,0.5664801584069084,0.4393609008725599,0.2401699876811869,0.28350273604319337,0.31584566592601654,0.41536598602320834,0.2685772877368922,0.20419705606711158,0.19741235755193912,0.17004827122529256,0.5091505622169924,0.3574776593843473
INDUSINDBK,0.49866860448491385,0.5286753985812185,0.14018494089650366,0.2721310649211302,0.3609414471348578,0.2715497687063833,0.40602764058700774,0.4167607145951769,0.408101466830762,0.21326913307540146,0.3660993245243985,0.22767444389739241,0.06362341251847119,0.41074667619516125,0.11729089932515023,0.27839814922430417,0.3781483697337837,0.2040963117736454,0.42998428699834507,0.12795122076269436,0.26325013295622934,0.37752739562227267,0.1377446222963595,0.4008633126821824,1.0,0.16299006276592656,0.26310856701749097,0.4722739149594176,0.37611665073131245,0.48289532955129366,0.37355849517734696,0.2548640892143427,0.29993009514985464,0.5164575102453165,0.33993391177012006,0.41957305764015956,0.45284869817365864,0.2063923852853331,0.5137935223692329,0.4238469397700317,0.14433526044495099,0.36788059528695677,0.4036153504701188,0.46502334962605724,0.17124450278173506,0.14293354536793518,0.2845010882740285,0.23401107458726744,0.4143021777168491,0.3077689026833016
INFY,0.21951634731519123,0.28802647771049666,0.1108109580776532,0.17704050616537775,0.07734581695695938,0.08128846827859505,0.21130401217388312,0.18911809536156593,0.2738266889774377,0.27786898126680243,0.1474631908491069,0.22364776036373984,0.09819631779497717,0.181125189222729,0.2604479934175222,0.14709859944050743,0.2277312480788155,0.7177821786963884,0.1797249695114943,0.011037524425573318,0.18979303536559264,0.26444379965069237,0.21689105421017557,0.2468973472014795,0.16299006276592656,1.0,0.28977245318018807,0.25862677627374187,0.23459016877733452,0.29996296052218796,0.24606906901010636,0.09033693283691831,0.246630448284631,0.23328103297632782,0.2509279226463778,0.20315719328711157,0.26661715542294584,0.1588224167406317,0.2405008388892499,0.13900654409911137,0.1886933198143448,0.3953514288766988,0.26425596587095856,0.226778435840067,0.7316736178999054,0.6578191509832856,0.2596518655738691,0.20570014211813548,0.3344191623951164,0.6095935862785139
ITC,0.4090929752490681,0.4411873580793222,0.20723608876343325,0.3889232082496201,0.2784793575465613,0.26548293140561,0.286950578381228,0.3034858901300446,0.37344706839029734,0.24320674913149917,0.19306299222536788,0.4599589342111494,0.16815011829231874,0.3129956194469907,0.19528278396071713,0.32045958313524703,0.3375591179659149,0.3267492797232498,0.2989989597567284,0.09048834505178781,0.18796833137809665,0.287278211203112,0.37244467443198453,0.4012038658905241,0.26310856701749097,0.28977245318018807,1.0,0.39438260702971495,0.35279927006310985,0.35014677723562265,0.21026871711714165,0.1933757642098065,0.4855627142297012,0.36700719517593483,0.23394139551850915,0.24990161572789907,0.39134448688864554,0.21162043441711487,0.37740471629058575,0.23208710986567505,0.23035707842505848,0.4506784072183177,0.29413389990878375,0.31914244824727006,0.294880391570192,0.2751817726796273,0.3929859561076574,0.20556532969939467,0.42428239563414877,0.3637903732003864
JSWSTEEL,0.5243379041149158,0.5587924073108844,0.2957108742239103,0.41009161203079086,0.3608693841637716,0.3105649182842105,0.4201349467456833,0.3998718748991613,0.554350207710787,0.33506471621841927,0.38918258670351896,0.31674357191352587,0.19641265672133393,0.49596579535628615,0.2436180891152615,0.37110645379844587,0.5406700588935985,0.34321031815705194,0.4519442517121535,0.1358213181174478,0.28594485888169374,0.6598778359745019,0.19698037879873667,0.44301581309372134,0.4722739149594176,0.25862677627374187,0.39438260702971495,1.0,0.3816086073186997,0.5572992211452907,0.4266418361553968,0.2993335275569539,0.3341017817128166,0.5951976634511611,0.4724300394668887,0.5361009390528627,0.4986333799096218,0.19552820281447156,0.5148839730922296,0.436369570313453,0.29217009742345756,0.36638097008193626,0.4854739691469733,0.8200504327010555,0.301219445661148,0.3081977272488926,0.35465586353349804,0.30325528393093654,0.6229747218484881,0.45848647097277023
KOTAKBANK,0.3509473171178023,0.4260650034180922,0.15559449216076912,0.27322997506486435,0.31145343563439115,0.18126398249077053,0.24504369610004587,0.3241290723494291,0.3918186173321766,0.265727173373471,0.1418847970912871,0.34899189481640175,0.06701251003444078,0.29065389323000385,-0.05090250118106407,0.23292225727285087,0.2822045227194397,0.2542517937572375,0.47465959218409953,0.10302906895542503,0.21624896355782683,0.32921581492228685,0.23174395764447145,0.4863052342510855,0.37611665073131245,0.23459016877733452,0.35279927006310985,0.3816086073186997,1.0,0.37409777877311146,0.24046130617580425,0.1439185018360713,0.2909479485273426,0.35211234123232393,0.25713134070068755,0.3045825194441982,0.4230711887626217,0.23730007522378813,0.3683549921717004,0.262331907804325,0.12628785859660402,0.3453034114263895,0.27408148041689545,0.3394118448672264,0.23281403949832363,0.21125894128178138,0.20350330335842884,0.144414622209748,0.45113265978618655,0.37162349983390697
